[2025-08-19 11:33:45,619: INFO: main: Welcome to our custom log]
[2025-08-19 12:43:23,280: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-19 12:43:23,331: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-19 12:43:23,334: INFO: common: created directory at: artifacts]
[2025-08-19 12:43:23,336: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-19 12:43:23,337: INFO: 967806046: Downloading data from https://drive.google.com/file/d/1x6wLWvnuMUv-0PEpRlM9EyoSkvkix5c9/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-19 12:44:07,330: INFO: 967806046: Downloaded data from https://drive.google.com/file/d/1x6wLWvnuMUv-0PEpRlM9EyoSkvkix5c9/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-19 12:45:42,923: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-19 12:45:42,925: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-19 12:45:42,928: INFO: common: created directory at: artifacts]
[2025-08-19 12:45:42,929: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-19 12:45:42,931: INFO: 967806046: Downloading data from https://drive.google.com/file/d/1zpBuGm1QOBWH9-NAcx-_7NQ-aidcvk8P/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-19 12:46:03,268: INFO: 967806046: Downloaded data from https://drive.google.com/file/d/1zpBuGm1QOBWH9-NAcx-_7NQ-aidcvk8P/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-19 13:06:33,761: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-08-19 13:06:33,761: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-08-19 13:06:33,761: INFO: common: yaml file: params.yaml loaded successfully]
[2025-08-19 13:06:33,761: INFO: common: created directory at: artifacts]
[2025-08-19 13:06:33,761: INFO: common: created directory at: artifacts/data_ingestion]
[2025-08-19 13:06:33,761: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1zpBuGm1QOBWH9-NAcx-_7NQ-aidcvk8P/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-19 13:06:54,713: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1zpBuGm1QOBWH9-NAcx-_7NQ-aidcvk8P/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-08-19 13:06:55,604: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
